host;ip;port;lastseen;delay;cid;country_code;country_name;city;checks_up;checks_down;anon;http;ssl;socks4;socks5
198.8.94.170;198.8.94.170;4145;137;1080;6252001;US;United States;;53457;33155;4;0;0;0;1
192.111.130.2;192.111.130.2;4145;137;920;6252001;US;United States;;49436;30747;4;0;0;1;0
192.252.208.70;192.252.208.70;14282;137;1080;6252001;US;United States;;26702;26828;4;0;0;0;1
198.8.94.174;198.8.94.174;39078;137;920;6252001;US;United States;;22075;17759;4;0;0;1;0
206.220.175.2;206.220.175.2;4145;137;1000;6252001;US;United States;;25954;8188;4;0;0;1;0
192.252.208.67;192.252.208.67;14287;141;900;6167865;CA;Canada;Toronto;39474;28594;4;0;0;1;0
199.116.114.11;199.116.114.11;4145;141;1000;6252001;US;United States;;21356;8849;4;0;0;1;0
94.182.177.92;94.182.177.92;80;147;260;130758;IR;Iran;;417;177;4;1;0;0;0
141.193.213.92;141.193.213.92;80;148;20;6252001;US;United States;;11714;901;1;1;0;0;0
172.67.133.207;172.67.133.207;80;148;160;6252001;US;United States;;10630;838;1;1;0;0;0
141.101.121.180;141.101.121.180;80;148;140;6255149;;;;10107;740;1;1;0;0;0
66.235.200.224;66.235.200.224;80;148;140;6252001;US;United States;;9303;783;1;1;0;0;0
172.67.161.206;172.67.161.206;80;148;160;6252001;US;United States;;5046;744;1;1;0;0;0
104.37.135.145;104.37.135.145;4145;226;1220;6252001;US;United States;;30736;12718;4;0;0;0;1
184.170.245.148;184.170.245.148;4145;230;1060;6252001;US;United States;;23580;20384;4;0;0;0;1
151.232.18.66;151.232.18.66;5678;230;620;130758;IR;Iran;;402;1588;4;0;0;1;0
172.67.181.55;172.67.181.55;80;231;160;6252001;US;United States;;21659;920;1;1;0;0;0
172.67.180.54;172.67.180.54;80;231;160;6252001;US;United States;;15225;857;1;1;0;0;0
172.67.167.165;172.67.167.165;80;231;100;6252001;US;United States;;14128;838;1;1;0;0;0
172.67.174.180;172.67.174.180;80;231;100;6252001;US;United States;;10784;824;1;1;0;0;0
141.101.120.239;141.101.120.239;80;231;120;6255149;;;;10108;769;1;1;0;0;0
141.101.122.136;141.101.122.136;80;231;160;6255149;;;;10023;742;1;1;0;0;0
141.101.122.119;141.101.122.119;80;231;160;6255149;;;;10117;730;1;1;0;0;0
63.141.128.139;63.141.128.139;80;231;40;6252001;US;United States;;9299;870;1;1;0;0;0
172.67.167.62;172.67.167.62;80;231;160;6252001;US;United States;;7842;818;1;1;0;0;0
23.227.39.165;23.227.39.165;80;231;120;6094817;CA;Canada;Ottawa;7434;715;1;1;0;0;0
